Date : 2024-12-27 00:28:08
Directory : /home/somecoder/Documents/web/web project/student-teacher/client
Total : 69 files,  5633 codes, 147 comments, 558 blanks, all 6338 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         40 |      2,329 |        123 |        421 |      2,873 |
| JSON               |          2 |      2,020 |          0 |          2 |      2,022 |
| TypeScript JSX     |         14 |        613 |         20 |        100 |        733 |
| CSS                |          8 |        561 |          4 |         15 |        580 |
| JavaScript         |          1 |         28 |          0 |          3 |         31 |
| YAML               |          1 |         27 |          0 |          1 |         28 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| Batch              |          1 |          5 |          0 |          1 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |         69 |      5,633 |        147 |        558 |      6,338 |
| . (Files)                                                                                                                  |          7 |      2,105 |         45 |         31 |      2,181 |
| .github                                                                                                                    |          1 |         27 |          0 |          1 |         28 |
| .github/workflows                                                                                                          |          1 |         27 |          0 |          1 |         28 |
| public                                                                                                                     |          1 |         28 |          0 |          3 |         31 |
| public/workers                                                                                                             |          1 |         28 |          0 |          3 |         31 |
| src                                                                                                                        |         58 |      3,154 |         62 |        435 |      3,651 |
| src/app                                                                                                                    |         58 |      3,154 |         62 |        435 |      3,651 |
| src/app (Files)                                                                                                            |          6 |         80 |          1 |         11 |         92 |
| src/app/API                                                                                                                |         22 |      1,423 |         36 |        254 |      1,713 |
| src/app/API/Sample_papers                                                                                                  |          8 |        385 |         36 |         91 |        512 |
| src/app/API/Sample_papers/CheckPaper                                                                                       |          1 |         49 |          0 |         18 |         67 |
| src/app/API/Sample_papers/Create                                                                                           |          1 |         69 |          0 |         16 |         85 |
| src/app/API/Sample_papers/DeletebyId                                                                                       |          1 |         43 |         30 |         11 |         84 |
| src/app/API/Sample_papers/GetActivitybyId                                                                                  |          1 |         17 |          0 |          4 |         21 |
| src/app/API/Sample_papers/Getallactivities                                                                                 |          1 |         26 |          1 |          7 |         34 |
| src/app/API/Sample_papers/Getallsamplepapers                                                                               |          1 |         48 |          4 |         10 |         62 |
| src/app/API/Sample_papers/GetbyIdsamplepaper                                                                               |          1 |         22 |          0 |          6 |         28 |
| src/app/API/Sample_papers/Solve                                                                                            |          1 |        111 |          1 |         19 |        131 |
| src/app/API/User                                                                                                           |         10 |      1,011 |          0 |        160 |      1,171 |
| src/app/API/User/Auth                                                                                                      |          1 |        248 |          0 |         29 |        277 |
